#sommet;position;couleur;etiquette
0;83.7316055298 89.1114273071;255 171 2 200;Fiat Partecipazioni S.p.A. 
1;66.9597930908 86.7040252686;130 133 255 200;Fiat Auto Holdings B.V. 
2;7.76511383057 86.2225799561;95 96 255 200;Inmap 2000 Espana S.L. 
3;1.0 87.987991333;75 75 255 200;Andalcar Motor S.L. 
4;41.0268859863 73.8644256592;174 178 230 200;Fidis S.p.A. 
5;33.8389587402 72.2595367432;75 75 255 200;Banco Fidis de Investimento SA 
6;35.389289856 66.642250061;75 75 255 200;Clickar Assistance S.R.L. 
7;51.3154830933 89.1114273071;246 128 0 200;Fiat Auto S.p.A. 
8;43.4228553772 89.5928726196;75 75 255 200;Easy Drive S.r.l. 
9;48.0738677979 100.02507019;88 89 255 200;Fiat Auto Argentina S.A. 
10;52.5839385986 105.321395874;88 89 255 200;Fiat Automoveis S.A. - FIASA 
11;31.4429779053 78.3582763672;150 155 255 200;Fiat Finance Netherlands B.V. 
12;22.2818908691 71.6175537109;88 89 255 200;Fiat Auto (Belgio) S.A. 
13;37.362449646 94.086730957;109 111 255 200;Fidis Renting Italia S.p.A. 
14;29.8926467896 93.4447479248;75 75 255 200;Fiat Auto Contracts Ltd 
15;16.6443099976 65.5188217163;75 75 255 200;Fiat Auto Dealer Financing SA 
16;18.1946487427 83.0126800537;102 104 255 200;Fiat Auto España S.A. 
17;34.4027137756 68.086730957;75 75 255 200;Fiat Auto Financial Services (Wholesale) Ltd. 
18;25.2416267395 81.889251709;75 75 255 200;Fiat Auto Hellas S.A. 
19;26.7919616699 72.4200744629;75 75 255 200;Fiat Auto (Ireland) Ltd. 
20;54.9799156189 93.9263458252;75 75 255 200;Fiat Auto Japan K.K. 
21;45.1141319275 80.6052856445;81 82 255 200;Fiat Auto Kreditbank GmbH 
22;31.020160675 97.6176528931;75 75 255 200;Fiat Auto Lease N.V. 
23;51.5973625183 95.0497817993;75 75 255 200;Fiat Auto Maroc S.A. 
24;61.3222045898 78.8398742676;81 82 255 200;Fiat Auto Nederland B.V. 
25;43.8456726074 96.6546859741;81 82 255 200;Fiat Auto Poland S.A. 
26;24.114112854 69.0496368408;88 89 255 200;Fiat Auto Portuguesa S.A. 
27;54.4161529541 96.1732025146;75 75 255 200;Fiat Auto South Africa (Proprietary) Ltd 
28;40.322177887 87.3460159302;88 89 255 200;Fiat Auto (Suisse) S.A. 
29;53.570514679 82.5312271118;75 75 255 200;Fiat Auto Trasporti S.r.l. 
30;22.1409606934 78.8398742676;81 82 255 200;Fiat Auto (U.K.) Ltd 
31;46.523525238 96.3337097168;75 75 255 200;Fiat Auto Var S.r.l. 
32;34.2617759705 63.2718086243;95 96 255 200;Fiat Automobil AG 
33;24.5369338989 76.9139251709;75 75 255 200;Fiat Automobil GmbH 
34;29.1879425049 53.9631729126;81 82 255 200;Fiat Automobil Vertriebs GmbH 
35;25.2416267395 74.8274688721;75 75 255 200;Fiat Automobiler Danmark A/S 
36;52.4430007935 97.4571685791;75 75 255 200;Fiat Center Italia S.p.A. 
37;32.9933166504 87.6670761108;75 75 255 200;Fiat Center (Suisse) S.A. 
38;47.0872955322 91.1978912354;75 75 255 200;Fiat CR Spol. S.R.O. 
39;35.671169281 70.654510498;75 75 255 200;Fiat Credit Belgio S.A. 
40;38.7718467712 64.5557785034;75 75 255 200;Fiat Credito Compania Financiera S.A. 
41;20.3087463379 61.8274612427;75 75 255 200;Fiat Distribuidora Portugal S.A. 
42;33.5570755005 69.6916275024;75 75 255 200;Fiat Finance Holding S.A. 
43;18.0537109375 74.0249481201;109 111 255 200;Fiat France 
44;27.2147903442 55.7285804749;81 82 255 200;Fiat Handlerservice GmbH 
45;48.9195098877 79.0002670288;88 89 255 200;Fiat India Automobiles Private Limited 
46;51.3154830933 80.6052856445;81 82 255 200;Fiat India Private Ltd. 
47;48.3557434082 96.3337097168;75 75 255 200;Fiat Magyarorszag Kereskedelmi KFT. 
48;15.0939712524 79.3213272095;75 75 255 200;Fiat Motor Sales Ltd 
49;65.4094543457 81.889251709;75 75 255 200;Fiat Purchasing Italia S.r.l. 
50;65.2685165405 93.2843551636;75 75 255 200;FIAT Purchasing Poland Sp. z o.o. 
51;48.6376304626 93.4447479248;75 75 255 200;Fiat SR Spol. SR.O. 
52;46.523525238 59.5804672241;81 82 255 200;Fiat Versicherungsdienst GmbH 
53;59.4899864197 58.9384803772;102 104 255 200;Rimaco S.A. 
54;24.8188095093 79.4817199707;75 75 255 200;Fidis Credit Danmark A/S 
55;57.3758926392 71.9384841919;75 75 255 200;Fidis Dealer Services B.V. 
56;34.684589386 74.1854858398;75 75 255 200;Fidis Faktoring Polska Sp. z o.o. 
57;40.8859367371 64.3952484131;75 75 255 200;Fidis Finance Polska Sp. z o.o. 
58;42.2953338623 66.0002593994;75 75 255 200;Fidis Hungary KFT 
59;31.3020401001 99.8645858765;75 75 255 200;Finplus Renting S.A. 
60;11.2885971069 71.9384841919;75 75 255 200;International Metropolitan Automotive Promotion (France) S.A. 
61;15.5167922974 67.765663147;75 75 255 200;Italian Automotive Center S.A. 
62;29.7517051697 95.5312271118;75 75 255 200;Leasys S.p.A. 
63;1.0 84.938621521;75 75 255 200;Multipoint Sevilla S.A. 
64;43.9866142273 91.8398742676;75 75 255 200;Sata-Società Automobilistica Tecnologie Avanzate S.p.A. 
65;28.2013664246 97.4571685791;81 82 255 200;Savarent Società per Azioni 
66;10.1610717773 73.222442627;75 75 255 200;des Concessionnaires s.a.s. 
67;36.7986907959 68.7287139893;75 75 255 200;Tarfin S.A. 
68;38.067150116 66.1607971191;75 75 255 200;Targa Rent S.r.l. 
69;12.5570526123 87.987991333;75 75 255 200;Targasys Espana S.L. 
70;10.8657836914 83.1732025146;75 75 255 200;Targasys Stock SA 
71;91.483291626 71.45703125;183 186 219 200;Fiat S.p.A. 
72;104.872573853 58.7779464722;109 111 255 200;Ferrari S.p.A. 
73;135.597412109 34.0619125366;88 89 255 200;Ferrari West Europe S.A. 
